id,speaker,speech,context,raw-dialouge,season,episode,title,airdate,runtime
1686,Narrator,"Welcome to Bikini Bottom, where can be found some of the finest specimens of undersea life.  Well, you know. ","chuckles Patrick is sleeping and the mailfish walks by and puts a box in his open mouth as he is yawning and waking up, he grabs it and quickly opens it, and it turns out to be a shiny, gold trophy","Welcome to Bikini Bottom, where can be found some of the finest specimens of undersea life. [chuckles] Well, you know. [Patrick is sleeping and the mailfish walks by and puts a box in his open mouth as he is yawning and waking up, he grabs it and quickly opens it, and it turns out to be a shiny, gold trophy]",02,05,Big Pink Loser,16-Nov-00,11
1687,Patrick,"An award? I never got an award before! Eeeee! Look rock, I got an award.  Jellyfish, I got an award.  Island, I got an awar...  I gotta show SpongeBob.",antenna on top of rock breaks jellyfish zap him and he jumps up above the surface chokes for air and floats back down,"An award? I never got an award before! Eeeee! Look rock, I got an award. [antenna on top of rock breaks] Jellyfish, I got an award. [jellyfish zap him and he jumps up above the surface] Island, I got an awar... [chokes for air and floats back down] I gotta show SpongeBob.",02,05,Big Pink Loser,16-Nov-00,11
1688,SpongeBob," Hold still, Gary.",building a house of cards looking like Gary,"[building a house of cards looking like Gary] Hold still, Gary.",02,05,Big Pink Loser,16-Nov-00,11
1689,Gary,Meow.,,Meow.,02,05,Big Pink Loser,16-Nov-00,11
1690,SpongeBob,Almost done. ,Patrick smashes through the wall and cards fall on the floor; Gary flies away,Almost done. [Patrick smashes through the wall and cards fall on the floor; Gary flies away],02,05,Big Pink Loser,16-Nov-00,11
1691,Patrick,"Hey, SpongeBob, guess what? I got an award.",SpongeBob falls down to the floor,"Hey, SpongeBob, guess what? I got an award.[SpongeBob falls down to the floor]",02,05,Big Pink Loser,16-Nov-00,11
1692,SpongeBob,"That's great, Patrick. What's it for?",,"That's great, Patrick. What's it for?",02,05,Big Pink Loser,16-Nov-00,11
1693,Patrick,See for yourself.,,See for yourself.,02,05,Big Pink Loser,16-Nov-00,11
1694,SpongeBob," ""For Outstanding Achievement In Achievement: SpongeBob SquarePants?""","his body is facedown, but his face come out and reads the award","[his body is facedown, but his face come out and reads the award] ""For Outstanding Achievement In Achievement: SpongeBob SquarePants?""",02,05,Big Pink Loser,16-Nov-00,11
1695,Patrick,SpongeBob SquarePants? That's a funny way to spell my name.,,SpongeBob SquarePants? That's a funny way to spell my name.,02,05,Big Pink Loser,16-Nov-00,11
1696,SpongeBob,"Patrick, I think the award is for me. You must've got it by mistake.",,"Patrick, I think the award is for me. You must've got it by mistake.",02,05,Big Pink Loser,16-Nov-00,11
1697,Patrick,"But, it's shiny. ",SpongeBob takes the trophy,"But, it's shiny. [SpongeBob takes the trophy]",02,05,Big Pink Loser,16-Nov-00,11
1698,SpongeBob,"Yeah, but you know what else is shiny?",,"Yeah, but you know what else is shiny?",02,05,Big Pink Loser,16-Nov-00,11
1699,Patrick,Ice cream!,,Ice cream!,02,05,Big Pink Loser,16-Nov-00,11
1700,SpongeBob,Exactly!,,Exactly!,02,05,Big Pink Loser,16-Nov-00,11
1701,Patrick,I can find it. Is it in here?,,I can find it. Is it in here?,02,05,Big Pink Loser,16-Nov-00,11
1702,SpongeBob,"No, don't! That's my...  ...award closet.",Patrick opens the door and a bunch of awards pile out of SpongeBob's closet,"No, don't! That's my... [Patrick opens the door and a bunch of awards pile out of SpongeBob's closet] ...award closet.",02,05,Big Pink Loser,16-Nov-00,11
1703,Patrick,I want an award! ,starts to cry,I want an award! [starts to cry],02,05,Big Pink Loser,16-Nov-00,11
