id,speaker,speech,context,raw-dialouge,season,episode,title,airdate,runtime
1048,TV Announcer,Mermaid Man: Fleet and forceful. With the ability to assemble and charge the creatures of the deep.,,Mermaid Man: Fleet and forceful. With the ability to assemble and charge the creatures of the deep.,01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1049,Mermaid Man,By the power of Neptune!,,By the power of Neptune!,01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1050,TV Announcer,"Mermaid Man, with his young associate Barnacle Boy, fights for all creatures who live in the sea, against the forces of evil.",,"Mermaid Man, with his young associate Barnacle Boy, fights for all creatures who live in the sea, against the forces of evil.",01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1051,Villain," Oh, no! The Raging Whirlpool! ",holds a baby's lollipop and he spots the whirlpool the whirlpool catches him and the lollipop falls on the baby's tongue,"[holds a baby's lollipop and he spots the whirlpool] Oh, no! The Raging Whirlpool! [the whirlpool catches him and the lollipop falls on the baby's tongue]",01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1052,TV Announcer,Mermaid Man! Champion of the deep.,,Mermaid Man! Champion of the deep.,01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1053,SpongeBob and Patrick,Yay! Champion of the deep! Woo!,,Yay! Champion of the deep! Woo!,01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1054,SpongeBob," Come on, Barnacle Boy. There's evil afoot.",dressed up as Mermaid Man,"[dressed up as Mermaid Man] Come on, Barnacle Boy. There's evil afoot.",01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1055,Patrick," Leaping lampreys, Mermaid Man! I'm right behind you!",dressed up as Barnacle Boy,"[dressed up as Barnacle Boy] Leaping lampreys, Mermaid Man! I'm right behind you!",01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1056,SpongeBob,"Mermaid Man and Barnacle Boy spot their arch enemy, Reflecto, up to no good.",,"Mermaid Man and Barnacle Boy spot their arch enemy, Reflecto, up to no good.",01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1057,Squidward," Fun, fun.","takes off glasses to notice the twosome, then puts it back on","[takes off glasses to notice the twosome, then puts it back on] Fun, fun.",01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1058,SpongeBob,You know what this means... ,pulls out a box of donuts,You know what this means... [pulls out a box of donuts],01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1059,Patrick,Donuts!,,Donuts!,01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1060,SpongeBob and Patrick,Oohhh...,,Oohhh...,01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1061,SpongeBob, By the power of Neptune! ,using a donut like a ring Patrick bites into the donut,[using a donut like a ring] By the power of Neptune! [Patrick bites into the donut],01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1062,SpongeBob and Patrick,"Mermaid Man and Barnacle Boy, UNITE!",,"Mermaid Man and Barnacle Boy, UNITE!",01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1063,SpongeBob,"Creatures of the deep, assemble!  Think... harder... Barnacle Boy...  Here they come! ",both go into deep thinking jellyfish swims by Squidward blows jellyfish away,"Creatures of the deep, assemble! [both go into deep thinking] Think... harder... Barnacle Boy... [jellyfish swims by] Here they come! [Squidward blows jellyfish away]",01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1064,SpongeBob,"Blast, Reflecto has become too powerful.",,"Blast, Reflecto has become too powerful.",01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1065,Squidward, What the? Ohh!,under a tent,[under a tent] What the? Ohh!,01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1066,SpongeBob,"If Reflecto is cut off from sunlight, he becomes weak.",,"If Reflecto is cut off from sunlight, he becomes weak.",01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1067,Patrick,"Jumping jellyfish, Mermaid Man. He's destroying the shield!",,"Jumping jellyfish, Mermaid Man. He's destroying the shield!",01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1068,SpongeBob,"Quick, Barnacle Boy, back to the sea cave.",,"Quick, Barnacle Boy, back to the sea cave.",01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1069,Patrick,"Right, Mermaid Man.",,"Right, Mermaid Man.",01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1070,Squidward,"SpongeBob!  SpongeBob, open up!","chases after SpongeBob and Patrick, who run inside; Squidward runs up to the door and he knocks it hard","SpongeBob! [chases after SpongeBob and Patrick, who run inside; Squidward runs up to the door and he knocks it hard] SpongeBob, open up!",01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1071,SpongeBob, Reflecto has found our secret lab.,Squidward continues knocking the door,[Squidward continues knocking the door] Reflecto has found our secret lab.,01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1072,Patrick,What would the real Mermaid Man do?,,What would the real Mermaid Man do?,01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1073,Squidward,Why don't you go ask him yourself?,,Why don't you go ask him yourself?,01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1074,SpongeBob,"Elaborate, you vile fiend!",,"Elaborate, you vile fiend!",01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1075,Squidward,He and Barnacle Boy live in the retirement home on the other side of town.,,He and Barnacle Boy live in the retirement home on the other side of town.,01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1076,SpongeBob,"Hmm, they must be working undercover.",,"Hmm, they must be working undercover.",01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1077,Squidward,Yeah... now please leave me alone.,,Yeah... now please leave me alone.,01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1078,SpongeBob and Patrick," Mermaid Man and Barnacle Boy, reunite! ",Patrick bites into the donut again At Shady Shoals Retirement Home,"[Patrick bites into the donut again] Mermaid Man and Barnacle Boy, reunite! [At Shady Shoals Retirement Home]",01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1079,SpongeBob,"Excuse me, I know that Mermaid Man is working undercover on an important case, but you think we can see him?",,"Excuse me, I know that Mermaid Man is working undercover on an important case, but you think we can see him?",01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1080,Manager,"Undercover? Yeah... well, I'll see if they can take time from their busy schedule to see you.  There they are. Right over there. ",SpongeBob and Patrick are laughing as they walk in SpongeBob and Patrick gasp,"Undercover? Yeah... well, I'll see if they can take time from their busy schedule to see you. [SpongeBob and Patrick are laughing as they walk in] There they are. Right over there. [SpongeBob and Patrick gasp]",01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1081,Manager,Try not to surprise them.,,Try not to surprise them.,01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1082,SpongeBob,Patrick! Can you believe it?,,Patrick! Can you believe it?,01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
1083,Patrick, Mermaid Man and Barnacle Boy in the flesh! ,holding onto SpongeBob SpongeBob and Patrick walk in front of the TV,[holding onto SpongeBob] Mermaid Man and Barnacle Boy in the flesh! [SpongeBob and Patrick walk in front of the TV],01,12,Mermaid Man and Barnacle Boy,21-Aug-99,10
