id,speaker,speech,context,raw-dialouge,season,episode,title,airdate,runtime
0,Debbie,Price check on industrial size econo pack of raw fiber.,,Price check on industrial size econo pack of raw fiber.,06,05,Penny Foolish,7-Mar-08,10
1,Mr. Krabs,"Ah, it goes in like steel wool, but comes out like an angel from heaven.",,"Ah, it goes in like steel wool, but comes out like an angel from heaven.",06,05,Penny Foolish,7-Mar-08,10
2,Debbie," Please, tell me more.",sarcastically,"[sarcastically] Please, tell me more.",06,05,Penny Foolish,7-Mar-08,10
3,Mr. Krabs,"Ooh, well, this one time I...",,"Ooh, well, this one time I...",06,05,Penny Foolish,7-Mar-08,10
4,Debbie,Not really!,,Not really!,06,05,Penny Foolish,7-Mar-08,10
5,Mr. Krabs,"I didn't think so. Ooh, wait, I almost forgot me coupons!  There's a couple double ones in there, too.",hands her a lot of coupons,"I didn't think so. Ooh, wait, I almost forgot me coupons! [hands her a lot of coupons] There's a couple double ones in there, too.",06,05,Penny Foolish,7-Mar-08,10
6,Debbie,"Sir, these expired over 30 years ago.",,"Sir, these expired over 30 years ago.",06,05,Penny Foolish,7-Mar-08,10
7,Mr. Krabs,What does that mean?,,What does that mean?,06,05,Penny Foolish,7-Mar-08,10
8,Debbie,"It means they're no good, sir. I'll just throw those away for you.",,"It means they're no good, sir. I'll just throw those away for you.",06,05,Penny Foolish,7-Mar-08,10
9,Mr. Krabs,"No, wait! I'll take 'em.",,"No, wait! I'll take 'em.",06,05,Penny Foolish,7-Mar-08,10
10,Debbie,"Okay, sir, your change today is going to be exactly ten cents.",,"Okay, sir, your change today is going to be exactly ten cents.",06,05,Penny Foolish,7-Mar-08,10
11,Mr. Krabs,"Come to papa! Come to papa!  Yay! Two nickels.  Hey, that's SpongeBob out there!  What in blue blazes is that boy up to?  Well, I'll be a geriatric jellyfish! SpongeBob found a penny! A bright shiny penny just sitting there, and he picked it right up! Huh, I can remember the whole thing as if it just happened a moment ago. ","two nickels slide out laughs, then gasps as he notices SpongeBob walking on the street SpongeBob does some weird things SpongeBob points to something that appears to be a penny. Two fish passing by look at him. SpongeBob picks it up and puts it in his pocket Mr. Krabs imagines what just happened","Come to papa! Come to papa! [two nickels slide out] Yay! Two nickels. [laughs, then gasps as he notices SpongeBob walking on the street] Hey, that's SpongeBob out there! [SpongeBob does some weird things] What in blue blazes is that boy up to? [SpongeBob points to something that appears to be a penny. Two fish passing by look at him. SpongeBob picks it up and puts it in his pocket] Well, I'll be a geriatric jellyfish! SpongeBob found a penny! A bright shiny penny just sitting there, and he picked it right up! Huh, I can remember the whole thing as if it just happened a moment ago. [Mr. Krabs imagines what just happened]",06,05,Penny Foolish,7-Mar-08,10
12,SpongeBob, Sir... Sir! ,in the thought bubble it is actually Debbie,[in the thought bubble] Sir... Sir! [it is actually Debbie],06,05,Penny Foolish,7-Mar-08,10
13,Debbie,...Sir! ,thought bubble disappears,...Sir! [thought bubble disappears],06,05,Penny Foolish,7-Mar-08,10
14,Mr. Krabs,What?,,What?,06,05,Penny Foolish,7-Mar-08,10
15,Debbie,You're holding up the line.,,You're holding up the line.,06,05,Penny Foolish,7-Mar-08,10
16,Mr. Krabs," Ooh, I am? ",a long line of angry fish is shown he leaves,"[a long line of angry fish is shown] Ooh, I am? [he leaves]",06,05,Penny Foolish,7-Mar-08,10
17,Debbie,"Next, please. ",cuts to night where Mr. Krabs is driving his boat,"Next, please. [cuts to night where Mr. Krabs is driving his boat]",06,05,Penny Foolish,7-Mar-08,10
18,Mr. Krabs,"Interesting how things work out that way. Some folks just walk along and stumble over free money, while others, others, they work! ",zooms out seeing that there's another car next to his and hearing dolphin chirps from Mr. Krabs,"Interesting how things work out that way. Some folks just walk along and stumble over free money, while others, others, they work! [zooms out seeing that there's another car next to his and hearing dolphin chirps from Mr. Krabs]",06,05,Penny Foolish,7-Mar-08,10
19,Billy,"Hey, mommy, look at that weird guy in the car over there.",,"Hey, mommy, look at that weird guy in the car over there.",06,05,Penny Foolish,7-Mar-08,10
20,Billy's Mom,"Billy, mommy's watching the road right now.",,"Billy, mommy's watching the road right now.",06,05,Penny Foolish,7-Mar-08,10
21,Mr. Krabs,"I mean, why couldn't I have just walked along and found it? I have legs, too, you know!  How about a little music.  Okay, okay, get a grip, Krabs. Just concentrate on driving.  Okay, getting all worked up over a little coin.  Ah, it must just be the full moon. Wait a second.  I GOTTA, HAVE THAT, PENNYYYYYYYY!!!  Good morning, SpongeBob.","sighs music dial turns into a penny steering wheel turns into a penny. Mr. Krabs screams and lets go of it, then holds it again laughs the moon turns into a penny, and Mr. Krabs screams cuts to next day at the Krusty Krab, SpongeBob walks in","I mean, why couldn't I have just walked along and found it? I have legs, too, you know! [sighs] How about a little music. [music dial turns into a penny] Okay, okay, get a grip, Krabs. Just concentrate on driving. [steering wheel turns into a penny. Mr. Krabs screams and lets go of it, then holds it again] Okay, getting all worked up over a little coin. [laughs] Ah, it must just be the full moon. Wait a second. [the moon turns into a penny, and Mr. Krabs screams] I GOTTA, HAVE THAT, PENNYYYYYYYY!!! [cuts to next day at the Krusty Krab, SpongeBob walks in] Good morning, SpongeBob.",06,05,Penny Foolish,7-Mar-08,10
22,SpongeBob,"Good morning, Mr. Krabs!",,"Good morning, Mr. Krabs!",06,05,Penny Foolish,7-Mar-08,10
