id,speaker,speech,context,raw-dialouge,season,episode,title,airdate,runtime
115,Pearl,"Boy, do I love high school. . You know what? Someday we're gonna remember all this, and we're gonna look back and say... Remember?",small laugh,"Boy, do I love high school. [small laugh]. You know what? Someday we're gonna remember all this, and we're gonna look back and say... Remember?",09,13,Barnacle Face,16-Sep-11,10
116,Pearl's friend," Speaking of remembering, you didn't forget the Bikini Bottom High School Dance is tomorrow night, did you?",laughing,"[laughing] Speaking of remembering, you didn't forget the Bikini Bottom High School Dance is tomorrow night, did you?",09,13,Barnacle Face,16-Sep-11,10
117,Pearl, Of course I didn't forget. I'm so excited.,Joyfully,[Joyfully] Of course I didn't forget. I'm so excited.,09,13,Barnacle Face,16-Sep-11,10
118,Pearl's friend," Me, too!",laughs,"[laughs] Me, too!",09,13,Barnacle Face,16-Sep-11,10
119,Pearl's friend, Barnacle!,In horror,[In horror] Barnacle!,09,13,Barnacle Face,16-Sep-11,10
120,Pearl,What!?,,What!?,09,13,Barnacle Face,16-Sep-11,10
121,Pearl's friend,Pearl I'm gonna say this as touchily as possible.  There is a hideous barnacle growing out of the side of your face!,pointing,Pearl I'm gonna say this as touchily as possible. [pointing] There is a hideous barnacle growing out of the side of your face!,09,13,Barnacle Face,16-Sep-11,10
122,Pearl, Where!?,Shocked,[Shocked] Where!?,09,13,Barnacle Face,16-Sep-11,10
123,Pearl's friend,There!,,There!,09,13,Barnacle Face,16-Sep-11,10
124,Pearl's friend,"Pearl, it's not really bad as you...",,"Pearl, it's not really bad as you...",09,13,Barnacle Face,16-Sep-11,10
125,Mr. Krabs,SpongeBob?,,SpongeBob?,09,13,Barnacle Face,16-Sep-11,10
126,SpongeBob," Yes, Mr. Krabs?",stops mopping,"[stops mopping] Yes, Mr. Krabs?",09,13,Barnacle Face,16-Sep-11,10
127,Mr. Krabs,Didn't you already mop this area?,,Didn't you already mop this area?,09,13,Barnacle Face,16-Sep-11,10
128,SpongeBob," Affirmative, captain!",laughs,"[laughs] Affirmative, captain!",09,13,Barnacle Face,16-Sep-11,10
129,Mr. Krabs,"Well, then, why would you mop it again?",,"Well, then, why would you mop it again?",09,13,Barnacle Face,16-Sep-11,10
130,SpongeBob,Why wouldn't I? ,there is a pause,Why wouldn't I? [there is a pause],09,13,Barnacle Face,16-Sep-11,10
131,Mr. Krabs,Good point.,,Good point.,09,13,Barnacle Face,16-Sep-11,10
132,Mr. Krabs,"Pearl, what brings you in on such a fine afternoon?",,"Pearl, what brings you in on such a fine afternoon?",09,13,Barnacle Face,16-Sep-11,10
133,Pearl,"Oh, Daddy! It's terrible. The school dance is this weekend.",,"Oh, Daddy! It's terrible. The school dance is this weekend.",09,13,Barnacle Face,16-Sep-11,10
134,Mr. Krabs,"Oooh, that is terrible.  Makes my shell crawl just thinking about it. Bleugh!",he shivers,"Oooh, that is terrible. [he shivers] Makes my shell crawl just thinking about it. Bleugh!",09,13,Barnacle Face,16-Sep-11,10
135,Pearl,"No, daddy! Don't you understand?! The terrible part is that I can't go to the dance!",,"No, daddy! Don't you understand?! The terrible part is that I can't go to the dance!",09,13,Barnacle Face,16-Sep-11,10
136,Mr. Krabs, Why ever not?,comes closer,[comes closer] Why ever not?,09,13,Barnacle Face,16-Sep-11,10
137,Pearl,Because I have a hideous barnacle growing on the side of my face!,,Because I have a hideous barnacle growing on the side of my face!,09,13,Barnacle Face,16-Sep-11,10
138,Mr. Krabs,"Oh-ho-ho-ho. Now, calm down there, my little Pearl. I'm sure it can't be half as awful as you...  Great rusty hinges of Davy Jones' Locker!",pus is shown oozing out of the barnacle; Krabs screams,"Oh-ho-ho-ho. Now, calm down there, my little Pearl. I'm sure it can't be half as awful as you... [pus is shown oozing out of the barnacle; Krabs screams] Great rusty hinges of Davy Jones' Locker!",09,13,Barnacle Face,16-Sep-11,10
139,Pearl,"We have to get rid of it, no matter what it takes!",,"We have to get rid of it, no matter what it takes!",09,13,Barnacle Face,16-Sep-11,10
140,Mr. Krabs,Anything for me beloved angel!,,Anything for me beloved angel!,09,13,Barnacle Face,16-Sep-11,10
141,Pearl,"Oh, okay. I need an appointment with a dermatologist, a trip to the spa, expensive creams and lotions, and probably some other kind of... ","Krabs stops her, angrily","Oh, okay. I need an appointment with a dermatologist, a trip to the spa, expensive creams and lotions, and probably some other kind of... [Krabs stops her, angrily]",09,13,Barnacle Face,16-Sep-11,10
142,Mr. Krabs,"I meant whatever you need to get rid of your blemish, not liquidate me retirement fund. ","this causes Pearl to cry again, soaking a table Harold and Nat are having lunch at","I meant whatever you need to get rid of your blemish, not liquidate me retirement fund. [this causes Pearl to cry again, soaking a table Harold and Nat are having lunch at]",09,13,Barnacle Face,16-Sep-11,10
143,Harold,You know what? Let's go across the street to the Chum Bucket.,,You know what? Let's go across the street to the Chum Bucket.,09,13,Barnacle Face,16-Sep-11,10
144,Nat,I heard they have better weather over there. ,They leave the Krusty Krab,I heard they have better weather over there. [They leave the Krusty Krab],09,13,Barnacle Face,16-Sep-11,10
145,Mr. Krabs," No! Wait!  This is starting to eat away me profit margin. If I don't come up with a solution fast, it's gonna cost me more than a couple cases of cold cream. ",chases after them but fails Pearl continues to wail He notices SpongeBob mopping past him,"[chases after them but fails] No! Wait! [Pearl continues to wail] This is starting to eat away me profit margin. If I don't come up with a solution fast, it's gonna cost me more than a couple cases of cold cream. [He notices SpongeBob mopping past him]",09,13,Barnacle Face,16-Sep-11,10
146,SpongeBob,,sings,[sings],09,13,Barnacle Face,16-Sep-11,10
147,Mr. Krabs,"Oh, SpongeBob.  How would you like to...  At ease!  How would you like to do your dear old chum a favor and rid his beautiful daughter of her evil barnacle?",SpongeBob stops He salutes SpongeBob drops his hand,"Oh, SpongeBob. [SpongeBob stops] How would you like to... [He salutes] At ease! [SpongeBob drops his hand] How would you like to do your dear old chum a favor and rid his beautiful daughter of her evil barnacle?",09,13,Barnacle Face,16-Sep-11,10
148,SpongeBob,"I will do you this favor, sir chum, never fear!",,"I will do you this favor, sir chum, never fear!",09,13,Barnacle Face,16-Sep-11,10
149,Pearl,"I don't know, SpongeBob. The school dance is right around the corner, and this barnacle seems to be getting bigger by the minute!",,"I don't know, SpongeBob. The school dance is right around the corner, and this barnacle seems to be getting bigger by the minute!",09,13,Barnacle Face,16-Sep-11,10
150,SpongeBob,"Don't fear, Pearl. We'll get rid of this barnacle in no time! I know just what to do!",,"Don't fear, Pearl. We'll get rid of this barnacle in no time! I know just what to do!",09,13,Barnacle Face,16-Sep-11,10
151,Pearl,Are you sure?,,Are you sure?,09,13,Barnacle Face,16-Sep-11,10
152,SpongeBob,"One time, my friend Patrick had this barnacle the size of an extra large Krabby Patty right at the center of his forehead! Anyway, I fixed it so we never saw that barnacle again.",,"One time, my friend Patrick had this barnacle the size of an extra large Krabby Patty right at the center of his forehead! Anyway, I fixed it so we never saw that barnacle again.",09,13,Barnacle Face,16-Sep-11,10
153,Pearl,How?,,How?,09,13,Barnacle Face,16-Sep-11,10
154,SpongeBob,I took him to see a hypnotist.,,I took him to see a hypnotist.,09,13,Barnacle Face,16-Sep-11,10
