id,speaker,speech,context,raw-dialouge,season,episode,title,airdate,runtime
417,Mr. Krabs,Squidward! SpongeBob! Just put me out of my misery.,,Squidward! SpongeBob! Just put me out of my misery.,04,24,Bummer Vacation,13-Oct-06,10
418,SpongeBob,"Why, Mr. Krabs? What could be wrong on this fine day?",,"Why, Mr. Krabs? What could be wrong on this fine day?",04,24,Bummer Vacation,13-Oct-06,10
419,Mr. Krabs,"Fine?!  Today's not the day for that word, boy. Not after I received this letter from the Fry Cooks Union. It says here fry cook SpongeBob SquarePants has accumulated too much vacation time. And if you don't take some time off, I'll have to pay a fine. ",grabs SpongeBob's mouth and ties it up cries,"Fine?! [grabs SpongeBob's mouth and ties it up] Today's not the day for that word, boy. Not after I received this letter from the Fry Cooks Union. It says here fry cook SpongeBob SquarePants has accumulated too much vacation time. And if you don't take some time off, I'll have to pay a fine. [cries]",04,24,Bummer Vacation,13-Oct-06,10
420,SpongeBob,Time off?,,Time off?,04,24,Bummer Vacation,13-Oct-06,10
421,Mr. Krabs,"Oh, I guess there's no other way to say this... SpongeBob, take a vacation.",,"Oh, I guess there's no other way to say this... SpongeBob, take a vacation.",04,24,Bummer Vacation,13-Oct-06,10
422,SpongeBob,"Aye aye, Mr. Krabs. ",runs out,"Aye aye, Mr. Krabs. [runs out]",04,24,Bummer Vacation,13-Oct-06,10
423,Mr. Krabs,"Well, that went better than expected.",,"Well, that went better than expected.",04,24,Bummer Vacation,13-Oct-06,10
424,SpongeBob," I'm ready, vacation. I'm ready, vacation. Vacation. Vacation.  Hey, Gary.",running down the street enters his house,"[running down the street] I'm ready, vacation. I'm ready, vacation. Vacation. Vacation. [enters his house] Hey, Gary.",04,24,Bummer Vacation,13-Oct-06,10
425,Gary,Meow?,,Meow?,04,24,Bummer Vacation,13-Oct-06,10
426,SpongeBob,"That's right, Gary, I am home early. I'm on vacation. Well, good night, Gary.  Good morning, Krusty Krew! Hello, Squidward.","walks into his bed and closes his eyes for no more than two seconds before his alarm goes off. Scene cuts to him lifting his weights, eating cereal, flossing, showering, then putting on some spray to make him shine. He grabs his hat then walks into the Krusty Krab","That's right, Gary, I am home early. I'm on vacation. Well, good night, Gary. [walks into his bed and closes his eyes for no more than two seconds before his alarm goes off. Scene cuts to him lifting his weights, eating cereal, flossing, showering, then putting on some spray to make him shine. He grabs his hat then walks into the Krusty Krab] Good morning, Krusty Krew! Hello, Squidward.",04,24,Bummer Vacation,13-Oct-06,10
427,Squidward,I thought you were on vacation.,,I thought you were on vacation.,04,24,Bummer Vacation,13-Oct-06,10
428,Mr. Krabs," He was and is. I told you to take a vacation, boy.",stops SpongeBob,"[stops SpongeBob] He was and is. I told you to take a vacation, boy.",04,24,Bummer Vacation,13-Oct-06,10
429,SpongeBob,What's a vacation?,,What's a vacation?,04,24,Bummer Vacation,13-Oct-06,10
430,Mr. Krabs,"Well, a vacation is when you don't come into work.",,"Well, a vacation is when you don't come into work.",04,24,Bummer Vacation,13-Oct-06,10
431,SpongeBob, No work?! But what'll I do all day?,gasps,[gasps] No work?! But what'll I do all day?,04,24,Bummer Vacation,13-Oct-06,10
