id,speaker,speech,context,raw-dialouge,season,episode,title,airdate,runtime
508,Patrick,Ahh! Sea spider! Sea spider! Sea spider!,,Ahh! Sea spider! Sea spider! Sea spider!,10,70,Patrick's Coupon,17-Jun-17,10
509,Patrick,Back! Back!,,Back! Back!,10,70,Patrick's Coupon,17-Jun-17,10
510,Patrick,Whoa!,,Whoa!,10,70,Patrick's Coupon,17-Jun-17,10
511,Patrick,"Oh, boy! Here it is! My lost coupon! I found it!",,"Oh, boy! Here it is! My lost coupon! I found it!",10,70,Patrick's Coupon,17-Jun-17,10
512,Patrick,"You have fought well today, sea spider, and now I must leave. For I am going to use this coupon to get an ice cream for my bestest friend in the whole ocean—um..  Sponge Knob Hair Pants!  Hmm.  Hmm!",looks at his picture with SpongeBob jumps out of his house and looks around looks the other way,"You have fought well today, sea spider, and now I must leave. For I am going to use this coupon to get an ice cream for my bestest friend in the whole ocean—um.. [looks at his picture with SpongeBob] Sponge Knob Hair Pants! [jumps out of his house and looks around] Hmm. [looks the other way] Hmm!",10,70,Patrick's Coupon,17-Jun-17,10
513,SpongeBob,"Hey, Patrick.",,"Hey, Patrick.",10,70,Patrick's Coupon,17-Jun-17,10
514,Patrick, Oh.,stutters,[stutters] Oh.,10,70,Patrick's Coupon,17-Jun-17,10
515,SpongeBob,What you doin'?,,What you doin'?,10,70,Patrick's Coupon,17-Jun-17,10
516,Patrick,I got this here free coupon and I'm gonna get you an ice cream.,,I got this here free coupon and I'm gonna get you an ice cream.,10,70,Patrick's Coupon,17-Jun-17,10
517,SpongeBob,"That's nice of you, buddy, but I already got an ice cream.",,"That's nice of you, buddy, but I already got an ice cream.",10,70,Patrick's Coupon,17-Jun-17,10
518,Patrick,Uh...but I'm getting you an ice cream!,,Uh...but I'm getting you an ice cream!,10,70,Patrick's Coupon,17-Jun-17,10
519,SpongeBob,Why would ya? I already got one.,,Why would ya? I already got one.,10,70,Patrick's Coupon,17-Jun-17,10
520,Patrick, Because I'm a nice guy! ,swats the ice cream cone off of SpongeBob's hand angrily walks off,[swats the ice cream cone off of SpongeBob's hand] Because I'm a nice guy! [angrily walks off],10,70,Patrick's Coupon,17-Jun-17,10
521,SpongeBob,Wow. There goes the nicest guy.,,Wow. There goes the nicest guy.,10,70,Patrick's Coupon,17-Jun-17,10
522,Patrick,Whoa.,,Whoa.,10,70,Patrick's Coupon,17-Jun-17,10
523,Mr. Krabs,Hooray! I win a free coupon!,,Hooray! I win a free coupon!,10,70,Patrick's Coupon,17-Jun-17,10
524,Patrick,H-how did you know about my free coupon?,,H-how did you know about my free coupon?,10,70,Patrick's Coupon,17-Jun-17,10
525,Mr. Krabs,Me back knows.  It breaks out in hives around anything free.,"pulls up his shirt and his hives appear in the word ""free""","Me back knows. [pulls up his shirt and his hives appear in the word ""free""] It breaks out in hives around anything free.",10,70,Patrick's Coupon,17-Jun-17,10
526,Patrick, Guh.,grossed out,[grossed out] Guh.,10,70,Patrick's Coupon,17-Jun-17,10
527,Mr. Krabs,I also know how heavy a free coupon can be.,,I also know how heavy a free coupon can be.,10,70,Patrick's Coupon,17-Jun-17,10
528,Patrick,It's heavy?,,It's heavy?,10,70,Patrick's Coupon,17-Jun-17,10
529,Mr. Krabs,Much too much responsibility for a carefree fellow like you. Tell you what. I'll take that free coupon off your hands for the price of a hearty handshake. ,holds out his hand,Much too much responsibility for a carefree fellow like you. Tell you what. I'll take that free coupon off your hands for the price of a hearty handshake. [holds out his hand],10,70,Patrick's Coupon,17-Jun-17,10
530,Patrick,Uh...Oh. Ohh! Oh! SpongeBob does love handshakes.,,Uh...Oh. Ohh! Oh! SpongeBob does love handshakes.,10,70,Patrick's Coupon,17-Jun-17,10
531,Squidward,You should be ashamed of yourself! Taking advantage of a simpleton. ,pushes Patrick and eats his sandwich,You should be ashamed of yourself! Taking advantage of a simpleton. [pushes Patrick and eats his sandwich],10,70,Patrick's Coupon,17-Jun-17,10
532,Mr. Krabs,"Aww, come on. Can't an old crab have a little unscrupulous fun anymore? ",leaves,"Aww, come on. Can't an old crab have a little unscrupulous fun anymore? [leaves]",10,70,Patrick's Coupon,17-Jun-17,10
533,Patrick,"Hey, you ruined my deal! I almost had a handshake!",,"Hey, you ruined my deal! I almost had a handshake!",10,70,Patrick's Coupon,17-Jun-17,10
534,Squidward," Oh, you dingdong wing nut! Krabs was just trying to steal your coupon! ",pulls the lever in the crane's controller and sets Patrick down walks on Patrick and leaves,"[pulls the lever in the crane's controller and sets Patrick down] Oh, you dingdong wing nut! Krabs was just trying to steal your coupon! [walks on Patrick and leaves]",10,70,Patrick's Coupon,17-Jun-17,10
535,Patrick,Steal my coupon? Hmm.  You want my ice cream coupon! You can't have it!,"gasps, backs away and bumps into Dave","Steal my coupon? Hmm. [gasps, backs away and bumps into Dave] You want my ice cream coupon! You can't have it!",10,70,Patrick's Coupon,17-Jun-17,10
536,Dave,Okay. Whatever.,,Okay. Whatever.,10,70,Patrick's Coupon,17-Jun-17,10
537,Orchid,He never really knew how to sing.,,He never really knew how to sing.,10,70,Patrick's Coupon,17-Jun-17,10
538,Orchid's friend,No! Singers?,,No! Singers?,10,70,Patrick's Coupon,17-Jun-17,10
539,Patrick,You.,,You.,10,70,Patrick's Coupon,17-Jun-17,10
540,Both,Hmm?,,Hmm?,10,70,Patrick's Coupon,17-Jun-17,10
541,Patrick,"Oh, I see you...peeking at my coupon! It's for SpongeBob's ice cream!",,"Oh, I see you...peeking at my coupon! It's for SpongeBob's ice cream!",10,70,Patrick's Coupon,17-Jun-17,10
542,Orchid, Hooray for SpongeBob.,sarcastically,[sarcastically] Hooray for SpongeBob.,10,70,Patrick's Coupon,17-Jun-17,10
543,Bikini Bottomites,"Hey, what's going on here? ",indistinct chatter,"Hey, what's going on here? [indistinct chatter]",10,70,Patrick's Coupon,17-Jun-17,10
544,Patrick,Get away from me! All of you! You're all after my coupon!,,Get away from me! All of you! You're all after my coupon!,10,70,Patrick's Coupon,17-Jun-17,10
545,Bikini Bottomites,Coupon! Coupon! Coupon! Coupon! Coupon! Coupon! Coupon! Coupon!,,Coupon! Coupon! Coupon! Coupon! Coupon! Coupon! Coupon! Coupon!,10,70,Patrick's Coupon,17-Jun-17,10
546,Patrick,No! You can't have my coupon! No! No!,,No! You can't have my coupon! No! No!,10,70,Patrick's Coupon,17-Jun-17,10
547,Radio Dispatcher,Officer Slugfish? We got a call about a sea star disturbance on your beat. Please investigate.,,Officer Slugfish? We got a call about a sea star disturbance on your beat. Please investigate.,10,70,Patrick's Coupon,17-Jun-17,10
548,Officer Slugfish,"Roger, headquarters. Hey, you.",,"Roger, headquarters. Hey, you.",10,70,Patrick's Coupon,17-Jun-17,10
549,Officer Slugfish,Headquarters? I couldn't catch him. He got away. ,eats pie,Headquarters? I couldn't catch him. He got away. [eats pie],10,70,Patrick's Coupon,17-Jun-17,10
550,Little Girl,You're a bad baby!,,You're a bad baby!,10,70,Patrick's Coupon,17-Jun-17,10
551,Patrick,Whaa!,,Whaa!,10,70,Patrick's Coupon,17-Jun-17,10
552,Thaddeus,"Oh, look, honey, it's Bikini Bottom's Sidewalk of the Stars. ",chuckles,"Oh, look, honey, it's Bikini Bottom's Sidewalk of the Stars. [chuckles]",10,70,Patrick's Coupon,17-Jun-17,10
553,Nancy Suzy Fish,"This one's gruesome. Hmm, looks like some kids' cartoon. Should we take a photo?",,"This one's gruesome. Hmm, looks like some kids' cartoon. Should we take a photo?",10,70,Patrick's Coupon,17-Jun-17,10
554,Thaddeus,"Nah, waste of film.",,"Nah, waste of film.",10,70,Patrick's Coupon,17-Jun-17,10
555,Patrick,Ooh.  Ah! Come back!  Ah!  I made it.  It's beautiful.,his coupon gets blown away grabs the coupon and falls off the cliff lands in front of the Ice Cream Store laughs as he runs into the store,Ooh. [his coupon gets blown away] Ah! Come back! [grabs the coupon and falls off the cliff] Ah! [lands in front of the Ice Cream Store] I made it. [laughs as he runs into the store] It's beautiful.,10,70,Patrick's Coupon,17-Jun-17,10
556,Lou,"And a good ice cream day to you, sir.",,"And a good ice cream day to you, sir.",10,70,Patrick's Coupon,17-Jun-17,10
557,Patrick,"Yes, it's a good day for ice cream!",,"Yes, it's a good day for ice cream!",10,70,Patrick's Coupon,17-Jun-17,10
558,Lou,And what's your pleasure?,,And what's your pleasure?,10,70,Patrick's Coupon,17-Jun-17,10
559,Patrick,"Oh, I want your bestest ice cream for my bestest buddy, SpongeBob!",,"Oh, I want your bestest ice cream for my bestest buddy, SpongeBob!",10,70,Patrick's Coupon,17-Jun-17,10
560,Lou,"Excellent choice, sir. One Heavenly Paradise coming up.",,"Excellent choice, sir. One Heavenly Paradise coming up.",10,70,Patrick's Coupon,17-Jun-17,10
561,Patrick,SpongeBob won't mind if I just take a little taste.,,SpongeBob won't mind if I just take a little taste.,10,70,Patrick's Coupon,17-Jun-17,10
562,Ice Cream Store Employee,"Aw, this coupon's out of date. Expired two years ago. Sorry, we can't honor it. ",grabs the spoon and leaves,"Aw, this coupon's out of date. Expired two years ago. Sorry, we can't honor it. [grabs the spoon and leaves]",10,70,Patrick's Coupon,17-Jun-17,10
563,Patrick,No ice cream for SpongeBob? Huh?,,No ice cream for SpongeBob? Huh?,10,70,Patrick's Coupon,17-Jun-17,10
564,Patrick,I demand that you honor my coupon! ,sobs loudly,I demand that you honor my coupon! [sobs loudly],10,70,Patrick's Coupon,17-Jun-17,10
