id,speaker,speech,context,raw-dialouge,season,episode,title,airdate,runtime
1166,Narrator,"The New Adventures of Mermaid Man and Barnacle Boy.  In a familiar restaurant, in a familiar part of town, a call goes out in frustration.",we see a long line to the Krusty Krab,"The New Adventures of Mermaid Man and Barnacle Boy. [we see a long line to the Krusty Krab] In a familiar restaurant, in a familiar part of town, a call goes out in frustration.",03,20,Mermaid Man and Barnacle Boy V,17-May-02,10
1167,Frank,Will you hurry up?,,Will you hurry up?,03,20,Mermaid Man and Barnacle Boy V,17-May-02,10
1168,Narrator,A call that would normally be answered by Bikini Bottom's semi-retired champions. If they weren't the ones causing the problem.,,A call that would normally be answered by Bikini Bottom's semi-retired champions. If they weren't the ones causing the problem.,03,20,Mermaid Man and Barnacle Boy V,17-May-02,10
1169,Mermaid Man,"Let's see... I want a... no.  I want a...  uh, no, uh, hmmm...",Shows a brief shot of Krusty Krab Menu camera returns to Mermaid Man,"Let's see... I want a... no. [Shows a brief shot of Krusty Krab Menu] I want a... [camera returns to Mermaid Man] uh, no, uh, hmmm...",03,20,Mermaid Man and Barnacle Boy V,17-May-02,10
1170,Squidward,"Sir, will you please order already? You're holding up the line!",,"Sir, will you please order already? You're holding up the line!",03,20,Mermaid Man and Barnacle Boy V,17-May-02,10
1171,SpongeBob," Psst. Hey, Mermaid Man, get a Krabby Patty.",whispering in Mermaid Man's ear,"[whispering in Mermaid Man's ear] Psst. Hey, Mermaid Man, get a Krabby Patty.",03,20,Mermaid Man and Barnacle Boy V,17-May-02,10
1172,Mermaid Man,I've made my decision!,,I've made my decision!,03,20,Mermaid Man and Barnacle Boy V,17-May-02,10
1173,Line of Customers,Hooray!,,Hooray!,03,20,Mermaid Man and Barnacle Boy V,17-May-02,10
1174,Mermaid Man,One Krabby Patty for me and a Pipsqueak Patty for the boy.,,One Krabby Patty for me and a Pipsqueak Patty for the boy.,03,20,Mermaid Man and Barnacle Boy V,17-May-02,10
1175,Barnacle Boy,"Now, wait just a darn minute!",,"Now, wait just a darn minute!",03,20,Mermaid Man and Barnacle Boy V,17-May-02,10
1176,Line of Customers,Awww!,,Awww!,03,20,Mermaid Man and Barnacle Boy V,17-May-02,10
1177,Barnacle Boy,I don't want a Pipsqueak Patty! I want an adult size Krabby Patty!,,I don't want a Pipsqueak Patty! I want an adult size Krabby Patty!,03,20,Mermaid Man and Barnacle Boy V,17-May-02,10
1178,Mermaid Man,The Krabby Patty is too big for you. You'll never finish it.,,The Krabby Patty is too big for you. You'll never finish it.,03,20,Mermaid Man and Barnacle Boy V,17-May-02,10
1179,Barnacle Boy,Don't you see what you're doing? You're treating me like a child!,,Don't you see what you're doing? You're treating me like a child!,03,20,Mermaid Man and Barnacle Boy V,17-May-02,10
1180,Mr. Krabs,The boy’s eyes are bigger than his stomach. ,laughs,The boy’s eyes are bigger than his stomach. [laughs],03,20,Mermaid Man and Barnacle Boy V,17-May-02,10
1181,Barnacle Boy,"And that's another thing, I'm not a boy! I'm so old I got hairs growing out of the wrinkles in my liver spots. ",shows a hair popping out,"And that's another thing, I'm not a boy! I'm so old I got hairs growing out of the wrinkles in my liver spots. [shows a hair popping out]",03,20,Mermaid Man and Barnacle Boy V,17-May-02,10
1182,Squidward, One Pipsqueak patty  and your bib and highchair.,snickering close up of the patty,[snickering] One Pipsqueak patty [close up of the patty] and your bib and highchair.,03,20,Mermaid Man and Barnacle Boy V,17-May-02,10
1183,Barnacle Boy,I'm 68 years old and I want a Krabby Patty!,,I'm 68 years old and I want a Krabby Patty!,03,20,Mermaid Man and Barnacle Boy V,17-May-02,10
